tanh	1	(3,)	0.001	86.32	86.11999999999999
tanh	1	(3,)	0.005	96.44	94.72
tanh	1	(3,)	0.01	99.85000000000001	98.34
tanh	1	(3,)	0.05	100.0	100.0
tanh	1	(4,)	0.001	78.25	77.13
tanh	1	(4,)	0.005	95.64	93.05
tanh	1	(4,)	0.01	99.41	98.00999999999999
tanh	1	(4,)	0.05	100.0	100.0
tanh	2	(3, 2)	0.001	54.13	54.44
tanh	2	(3, 2)	0.005	100.0	99.67
tanh	2	(3, 2)	0.01	100.0	100.0
tanh	2	(3, 2)	0.05	100.0	100.0
tanh	2	(4, 3)	0.001	86.25	85.48
tanh	2	(4, 3)	0.005	100.0	99.33
tanh	2	(4, 3)	0.01	100.0	99.67
tanh	2	(4, 3)	0.05	100.0	100.0
tanh	2	(5, 2)	0.001	87.46000000000001	86.08
tanh	2	(5, 2)	0.005	99.96000000000001	99.33999999999999
tanh	2	(5, 2)	0.01	100.0	99.67
tanh	2	(5, 2)	0.05	100.0	100.0
tanh	2	(5, 3)	0.001	46.2	44.56
tanh	2	(5, 3)	0.005	99.85000000000001	98.69
tanh	2	(5, 3)	0.01	100.0	99.67
tanh	2	(5, 3)	0.05	100.0	100.0
relu	1	(3,)	0.001	86.95	85.84
relu	1	(3,)	0.005	95.64	93.04
relu	1	(3,)	0.01	99.89	99.00999999999999
relu	1	(3,)	0.05	100.0	100.0
relu	1	(4,)	0.001	54.13	54.120000000000005
relu	1	(4,)	0.005	90.42999999999999	87.06
relu	1	(4,)	0.01	99.49	98.34
relu	1	(4,)	0.05	100.0	100.0
relu	2	(3, 2)	0.001	54.13	54.120000000000005
relu	2	(3, 2)	0.005	100.0	100.0
relu	2	(3, 2)	0.01	100.0	100.0
relu	2	(3, 2)	0.05	100.0	100.0
relu	2	(4, 3)	0.001	45.87	45.879999999999995
relu	2	(4, 3)	0.005	100.0	99.33
relu	2	(4, 3)	0.01	100.0	100.0
relu	2	(4, 3)	0.05	100.0	100.0
relu	2	(5, 2)	0.001	88.03999999999999	86.77
relu	2	(5, 2)	0.005	100.0	99.0
relu	2	(5, 2)	0.01	100.0	100.0
relu	2	(5, 2)	0.05	100.0	100.0
relu	2	(5, 3)	0.001	43.89	43.21
relu	2	(5, 3)	0.005	99.89	99.02
relu	2	(5, 3)	0.01	100.0	99.67
relu	2	(5, 3)	0.05	100.0	100.0
